"","ID","Description","enrichmentScore","p.adjust","GeneralPathway","DetailedPathway"
"cvn00564","cvn00564","Glycerophospholipid metabolism",-0.314545543310141,0.769563165867832,"Metabolism","Lipid metabolism"
"cvn04310","cvn04310","Wnt signaling pathway",0.273045261343722,0.769563165867832,"Environmental Information Processing","Signal transduction"
"cvn00531","cvn00531","Glycosaminoglycan degradation",0.379081122712091,0.790698824984539,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00062","cvn00062","Fatty acid elongation",0.415915124155737,0.790698824984539,"Metabolism","Lipid metabolism"
"cvn04814","cvn04814","Motor proteins",-0.2678075578009,0.790698824984539,"Cellular Processes","Cell motility"
"cvn00240","cvn00240","Pyrimidine metabolism",0.303452980613546,0.790698824984539,"Metabolism","Nucleotide metabolism"
"cvn04144","cvn04144","Endocytosis",0.240635827444328,0.790698824984539,"Cellular Processes","Transport and catabolism"
"cvn04130","cvn04130","SNARE interactions in vesicular transport",-0.403078991705356,0.790698824984539,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00380","cvn00380","Tryptophan metabolism",-0.330809539635641,0.790698824984539,"Metabolism","Amino acid metabolism"
"cvn00534","cvn00534","Glycosaminoglycan biosynthesis",-0.391508459350481,0.790698824984539,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00900","cvn00900","Terpenoid backbone biosynthesis",0.33515076813719,0.790698824984539,"Metabolism","Metabolism of terpenoids and polyketides"
"cvn01232","cvn01232","Nucleotide metabolism",0.275175478040402,0.790698824984539,"NA","NA"
"cvn03022","cvn03022","Basal transcription factors",-0.33035854364337,0.802172670097198,"Genetic Information Processing","Transcription"
"cvn00071","cvn00071","Fatty acid degradation",-0.305416045592077,0.832558339791613,"Metabolism","Lipid metabolism"
"cvn00020","cvn00020","Citrate cycle (TCA cycle)",-0.304616232840233,0.835766205317136,"Metabolism","Carbohydrate metabolism"
"cvn03450","cvn03450","Non-homologous end-joining",-0.387785482410868,0.835766205317136,"Genetic Information Processing","Replication and repair"
"cvn00280","cvn00280","Valine, leucine and isoleucine degradation",-0.283807895974992,0.835766205317136,"Metabolism","Amino acid metabolism"
"cvn00130","cvn00130","Ubiquinone and other terpenoid-quinone biosynthesis",0.394547908359196,0.835766205317136,"Metabolism","Metabolism of cofactors and vitamins"
"cvn01200","cvn01200","Carbon metabolism",-0.249378812712475,0.839627439760951,"NA","NA"
"cvn04142","cvn04142","Lysosome",-0.243418485584934,0.839627439760951,"Cellular Processes","Transport and catabolism"
"cvn00250","cvn00250","Alanine, aspartate and glutamate metabolism",-0.305134448711597,0.839627439760951,"Metabolism","Amino acid metabolism"
"cvn04136","cvn04136","Autophagy",0.304940200595078,0.839627439760951,"Cellular Processes","Transport and catabolism"
"cvn00562","cvn00562","Inositol phosphate metabolism",-0.277067834113767,0.839627439760951,"Metabolism","Carbohydrate metabolism"
"cvn00650","cvn00650","Butanoate metabolism",-0.325854723838344,0.839627439760951,"Metabolism","Carbohydrate metabolism"
"cvn00220","cvn00220","Arginine biosynthesis",-0.365972521671205,0.839627439760951,"Metabolism","Amino acid metabolism"
"cvn00480","cvn00480","Glutathione metabolism",-0.286853860428383,0.839627439760951,"Metabolism","Metabolism of other amino acids"
"cvn00511","cvn00511","Other glycan degradation",-0.288853539218526,0.839627439760951,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00030","cvn00030","Pentose phosphate pathway",-0.323105468578738,0.839627439760951,"Metabolism","Carbohydrate metabolism"
"cvn00600","cvn00600","Sphingolipid metabolism",-0.2734205981908,0.839627439760951,"Metabolism","Lipid metabolism"
"cvn04350","cvn04350","TGF-beta signaling pathway",0.26581390890146,0.839627439760951,"Environmental Information Processing","Signal transduction"
"cvn03250","cvn03250","Viral life cycle",-0.29677565529447,0.839627439760951,"Genetic Information Processing","Information processing in viruses"
"cvn00565","cvn00565","Ether lipid metabolism",0.325805098496748,0.839627439760951,"Metabolism","Lipid metabolism"
"cvn00532","cvn00532","Glycosaminoglycan biosynthesis",0.346529321545913,0.839627439760951,"Metabolism","Glycan biosynthesis and metabolism"
"cvn03018","cvn03018","RNA degradation",-0.261590052005567,0.841184755418217,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00770","cvn00770","Pantothenate and CoA biosynthesis",-0.338769001547859,0.841184755418217,"Metabolism","Metabolism of cofactors and vitamins"
"cvn04980","cvn04980","Cobalamin transport and metabolism",0.328953178520499,0.841184755418217,"Organismal Systems","Digestive system"
"cvn00520","cvn00520","Amino sugar and nucleotide sugar metabolism",-0.26300098591519,0.847113784717778,"Metabolism","Carbohydrate metabolism"
"cvn00340","cvn00340","Histidine metabolism",0.275223687267331,0.847113784717778,"Metabolism","Amino acid metabolism"
"cvn00561","cvn00561","Glycerolipid metabolism",0.256468783551014,0.847113784717778,"Metabolism","Lipid metabolism"
"cvn00603","cvn00603","Glycosphingolipid biosynthesis",0.310901762086735,0.868344960064705,"Metabolism","Glycan biosynthesis and metabolism"
"cvn01210","cvn01210","2-Oxocarboxylic acid metabolism",-0.277129376034579,0.871313050971035,"NA","NA"
"cvn00590","cvn00590","Arachidonic acid metabolism",-0.323684484493275,0.871313050971035,"Metabolism","Lipid metabolism"
"cvn04140","cvn04140","Autophagy",-0.234346384772642,0.872088283251805,"Cellular Processes","Transport and catabolism"
"cvn04512","cvn04512","ECM-receptor interaction",0.265623137685128,0.882183208760647,"Environmental Information Processing","Signaling molecules and interaction"
"cvn00730","cvn00730","Thiamine metabolism",-0.341724412207984,0.882183208760647,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00563","cvn00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.272794147897197,0.888211010107173,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00785","cvn00785","Lipoic acid metabolism",-0.297992861889055,0.89256748018549,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00910","cvn00910","Nitrogen metabolism",0.311056297092734,0.89256748018549,"Metabolism","Energy metabolism"
"cvn00230","cvn00230","Purine metabolism",-0.222698367752161,0.927936930934932,"Metabolism","Nucleotide metabolism"
"cvn01230","cvn01230","Biosynthesis of amino acids",0.217324645511806,0.946797568957457,"NA","NA"
"cvn00190","cvn00190","Oxidative phosphorylation",-0.217218346498001,0.974210131115347,"Metabolism","Energy metabolism"
"cvn04080","cvn04080","Neuroactive ligand-receptor interaction",0.192674347014675,0.982323232323232,"Environmental Information Processing","Signaling molecules and interaction"
"cvn03410","cvn03410","Base excision repair",0.197262040120871,0.982323232323232,"Genetic Information Processing","Replication and repair"
"cvn01212","cvn01212","Fatty acid metabolism",0.195986161322591,0.982323232323232,"NA","NA"
"cvn03440","cvn03440","Homologous recombination",-0.214706475163874,0.982323232323232,"Genetic Information Processing","Replication and repair"
"cvn00061","cvn00061","Fatty acid biosynthesis",-0.241092204272478,0.982323232323232,"Metabolism","Lipid metabolism"
"cvn00790","cvn00790","Folate biosynthesis",-0.243138220423806,0.982323232323232,"Metabolism","Metabolism of cofactors and vitamins"
