"","ID","Description","enrichmentScore","p.adjust","GeneralPathway","DetailedPathway"
"cvn00603","cvn00603","Glycosphingolipid biosynthesis",-0.46371008580056,0.708196976780427,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00532","cvn00532","Glycosaminoglycan biosynthesis",-0.469016045131456,0.708196976780427,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00860","cvn00860","Porphyrin metabolism",-0.422748688379815,0.708196976780427,"Metabolism","Metabolism of cofactors and vitamins"
"cvn03272","cvn03272","Virion",0.440151943916893,0.708196976780427,"Genetic Information Processing","Information processing in viruses"
"cvn04070","cvn04070","Phosphatidylinositol signaling system",-0.329464824757984,0.708196976780427,"Environmental Information Processing","Signal transduction"
"cvn00650","cvn00650","Butanoate metabolism",0.370762050748304,0.708196976780427,"Metabolism","Carbohydrate metabolism"
"cvn00052","cvn00052","Galactose metabolism",-0.403421591567511,0.708196976780427,"Metabolism","Carbohydrate metabolism"
"cvn01212","cvn01212","Fatty acid metabolism",0.301527212784908,0.708196976780427,"NA","NA"
"cvn01210","cvn01210","2-Oxocarboxylic acid metabolism",0.320436746766132,0.708196976780427,"NA","NA"
"cvn01230","cvn01230","Biosynthesis of amino acids",0.279587822450282,0.708196976780427,"NA","NA"
"cvn04145","cvn04145","Phagosome",-0.322075908261237,0.708196976780427,"Cellular Processes","Transport and catabolism"
"cvn03083","cvn03083","Polycomb repressive complex",-0.342084888235545,0.708196976780427,"Genetic Information Processing","Chromosome"
"cvn00620","cvn00620","Pyruvate metabolism",-0.342568064961993,0.708196976780427,"Metabolism","Carbohydrate metabolism"
"cvn00790","cvn00790","Folate biosynthesis",0.410343123915046,0.708196976780427,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00564","cvn00564","Glycerophospholipid metabolism",0.294895949786879,0.708196976780427,"Metabolism","Lipid metabolism"
"cvn00601","cvn00601","Glycosphingolipid biosynthesis",0.395393019908394,0.708196976780427,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00830","cvn00830","Retinol metabolism",-0.375736243583843,0.708196976780427,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00260","cvn00260","Glycine, serine and threonine metabolism",-0.336708055364977,0.708196976780427,"Metabolism","Amino acid metabolism"
"cvn00450","cvn00450","Selenocompound metabolism",0.391384342382754,0.708196976780427,"Metabolism","Metabolism of other amino acids"
"cvn00030","cvn00030","Pentose phosphate pathway",-0.380099646451004,0.708196976780427,"Metabolism","Carbohydrate metabolism"
"cvn04140","cvn04140","Autophagy",0.245961960875062,0.708196976780427,"Cellular Processes","Transport and catabolism"
"cvn04814","cvn04814","Motor proteins",-0.27523082245385,0.708196976780427,"Cellular Processes","Cell motility"
"cvn04310","cvn04310","Wnt signaling pathway",0.261322426205626,0.708196976780427,"Environmental Information Processing","Signal transduction"
"cvn01200","cvn01200","Carbon metabolism",0.24294584147896,0.708196976780427,"NA","NA"
"cvn00982","cvn00982","Drug metabolism",0.35037228765931,0.719571045576407,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn00600","cvn00600","Sphingolipid metabolism",-0.312277273509718,0.722064393939394,"Metabolism","Lipid metabolism"
"cvn04137","cvn04137","Mitophagy",-0.296487890668787,0.722064393939394,"Cellular Processes","Transport and catabolism"
"cvn00020","cvn00020","Citrate cycle (TCA cycle)",0.286304118202152,0.7245229234302,"Metabolism","Carbohydrate metabolism"
"cvn00770","cvn00770","Pantothenate and CoA biosynthesis",-0.399014268870671,0.746208000656801,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00010","cvn00010","Glycolysis / Gluconeogenesis",-0.308857740361469,0.746208000656801,"Metabolism","Carbohydrate metabolism"
"cvn04141","cvn04141","Protein processing in endoplasmic reticulum",-0.267993334973239,0.746208000656801,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00531","cvn00531","Glycosaminoglycan degradation",-0.387008478978483,0.746208000656801,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00520","cvn00520","Amino sugar and nucleotide sugar metabolism",-0.297938203765626,0.746208000656801,"Metabolism","Carbohydrate metabolism"
"cvn04330","cvn04330","Notch signaling pathway",-0.331056758177748,0.746208000656801,"Environmental Information Processing","Signal transduction"
"cvn00565","cvn00565","Ether lipid metabolism",0.346246060726427,0.746208000656801,"Metabolism","Lipid metabolism"
"cvn00360","cvn00360","Phenylalanine metabolism",-0.412817630683732,0.746208000656801,"Metabolism","Amino acid metabolism"
"cvn03450","cvn03450","Non-homologous end-joining",0.360104889276966,0.746208000656801,"Genetic Information Processing","Replication and repair"
"cvn00510","cvn00510","N-Glycan biosynthesis",0.276671539472191,0.746208000656801,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00513","cvn00513","Various types of N-glycan biosynthesis",-0.316946189981297,0.763565891472868,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00640","cvn00640","Propanoate metabolism",0.292846045605272,0.763565891472868,"Metabolism","Carbohydrate metabolism"
"cvn00730","cvn00730","Thiamine metabolism",0.377585009234627,0.763565891472868,"Metabolism","Metabolism of cofactors and vitamins"
"cvn03010","cvn03010","Ribosome",-0.267685065701906,0.768812796399003,"Genetic Information Processing","Translation"
"cvn03013","cvn03013","Nucleocytoplasmic transport",-0.260953512906747,0.791382575757576,"Genetic Information Processing","Translation"
"cvn00071","cvn00071","Fatty acid degradation",0.262207627189261,0.809981684981685,"Metabolism","Lipid metabolism"
"cvn00062","cvn00062","Fatty acid elongation",0.353245366893052,0.809981684981685,"Metabolism","Lipid metabolism"
"cvn00053","cvn00053","Ascorbate and aldarate metabolism",-0.368754851221289,0.809981684981685,"Metabolism","Carbohydrate metabolism"
"cvn00511","cvn00511","Other glycan degradation",-0.286995062130385,0.812632555673383,"Metabolism","Glycan biosynthesis and metabolism"
"cvn04144","cvn04144","Endocytosis",0.213110014619299,0.825155269404611,"Cellular Processes","Transport and catabolism"
"cvn04142","cvn04142","Lysosome",-0.240366589220105,0.825155269404611,"Cellular Processes","Transport and catabolism"
"cvn01240","cvn01240","Biosynthesis of cofactors",-0.242436143951957,0.825155269404611,"NA","NA"
"cvn00340","cvn00340","Histidine metabolism",-0.300936315597348,0.825155269404611,"Metabolism","Amino acid metabolism"
"cvn00561","cvn00561","Glycerolipid metabolism",0.253573537876459,0.825155269404611,"Metabolism","Lipid metabolism"
"cvn00410","cvn00410","beta-Alanine metabolism",0.266306506774451,0.825155269404611,"Metabolism","Metabolism of other amino acids"
"cvn03020","cvn03020","RNA polymerase",0.315506238331099,0.825155269404611,"Genetic Information Processing","Transcription"
"cvn04512","cvn04512","ECM-receptor interaction",-0.305442358001587,0.825155269404611,"Environmental Information Processing","Signaling molecules and interaction"
"cvn00900","cvn00900","Terpenoid backbone biosynthesis",0.277995101962317,0.825155269404611,"Metabolism","Metabolism of terpenoids and polyketides"
"cvn00590","cvn00590","Arachidonic acid metabolism",-0.327404907213088,0.825155269404611,"Metabolism","Lipid metabolism"
"cvn00280","cvn00280","Valine, leucine and isoleucine degradation",-0.259237557837957,0.83346359820524,"Metabolism","Amino acid metabolism"
"cvn00983","cvn00983","Drug metabolism",0.247114000670317,0.83346359820524,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn04130","cvn04130","SNARE interactions in vesicular transport",0.312209904078742,0.83346359820524,"Genetic Information Processing","Folding, sorting and degradation"
"cvn04820","cvn04820","Cytoskeleton in muscle cells",0.225866990041107,0.833954760129257,"Cellular Processes","Cell motility"
"cvn00563","cvn00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.281646833765991,0.833954760129257,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00130","cvn00130","Ubiquinone and other terpenoid-quinone biosynthesis",0.324476634138229,0.833954760129257,"Metabolism","Metabolism of cofactors and vitamins"
"cvn04350","cvn04350","TGF-beta signaling pathway",-0.26169538324015,0.844568136048333,"Environmental Information Processing","Signal transduction"
"cvn01232","cvn01232","Nucleotide metabolism",-0.24833384655322,0.859425423061787,"NA","NA"
"cvn00250","cvn00250","Alanine, aspartate and glutamate metabolism",-0.25850953575366,0.862715148429434,"Metabolism","Amino acid metabolism"
"cvn00230","cvn00230","Purine metabolism",-0.233133842494283,0.876890171110227,"Metabolism","Nucleotide metabolism"
"cvn00480","cvn00480","Glutathione metabolism",-0.240465351663246,0.922870272180983,"Metabolism","Metabolism of other amino acids"
"cvn00240","cvn00240","Pyrimidine metabolism",-0.238594402357746,0.922870272180983,"Metabolism","Nucleotide metabolism"
"cvn00670","cvn00670","One carbon pool by folate",-0.263879660509812,0.922870272180983,"Metabolism","Metabolism of cofactors and vitamins"
"cvn03410","cvn03410","Base excision repair",-0.226599322492087,0.941979010494753,"Genetic Information Processing","Replication and repair"
"cvn00190","cvn00190","Oxidative phosphorylation",-0.214717153896806,0.976720162331673,"Metabolism","Energy metabolism"
"cvn03018","cvn03018","RNA degradation",-0.209096827028867,0.977940719567514,"Genetic Information Processing","Folding, sorting and degradation"
"cvn03440","cvn03440","Homologous recombination",-0.223722694273295,0.977940719567514,"Genetic Information Processing","Replication and repair"
"cvn00061","cvn00061","Fatty acid biosynthesis",0.216090014446549,0.977940719567514,"Metabolism","Lipid metabolism"
"cvn00785","cvn00785","Lipoic acid metabolism",-0.217832661275312,0.977940719567514,"Metabolism","Metabolism of cofactors and vitamins"
"cvn04080","cvn04080","Neuroactive ligand-receptor interaction",-0.191763893939187,0.978693181818182,"Environmental Information Processing","Signaling molecules and interaction"
