"","ID","Description","enrichmentScore","GeneralPathway","DetailedPathway"
"cvn01212","cvn01212","Fatty acid metabolism",0.277629051647924,"NA","NA"
"cvn00020","cvn00020","Citrate cycle (TCA cycle)",0.296273575019982,"Metabolism","Carbohydrate metabolism"
"cvn00511","cvn00511","Other glycan degradation",-0.315505186549268,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00562","cvn00562","Inositol phosphate metabolism",-0.300832344897989,"Metabolism","Carbohydrate metabolism"
"cvn00770","cvn00770","Pantothenate and CoA biosynthesis",-0.380775441392731,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00640","cvn00640","Propanoate metabolism",0.306707404911487,"Metabolism","Carbohydrate metabolism"
"cvn04141","cvn04141","Protein processing in endoplasmic reticulum",-0.260466535684777,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00520","cvn00520","Amino sugar and nucleotide sugar metabolism",-0.296921015700957,"Metabolism","Carbohydrate metabolism"
"cvn00010","cvn00010","Glycolysis / Gluconeogenesis",-0.290965802307572,"Metabolism","Carbohydrate metabolism"
"cvn00982","cvn00982","Drug metabolism",0.326922309915603,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn00030","cvn00030","Pentose phosphate pathway",-0.333679248067534,"Metabolism","Carbohydrate metabolism"
"cvn00830","cvn00830","Retinol metabolism",-0.323699073972728,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00260","cvn00260","Glycine, serine and threonine metabolism",-0.295059354213623,"Metabolism","Amino acid metabolism"
"cvn00513","cvn00513","Various types of N-glycan biosynthesis",-0.305296570205561,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00410","cvn00410","beta-Alanine metabolism",0.279911154543957,"Metabolism","Metabolism of other amino acids"
"cvn00561","cvn00561","Glycerolipid metabolism",0.274599835771063,"Metabolism","Lipid metabolism"
"cvn04130","cvn04130","SNARE interactions in vesicular transport",0.343482864621414,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00983","cvn00983","Drug metabolism",0.266550285858481,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn03013","cvn03013","Nucleocytoplasmic transport",-0.247713627164548,"Genetic Information Processing","Translation"
"cvn00360","cvn00360","Phenylalanine metabolism",-0.383125058128899,"Metabolism","Amino acid metabolism"
"cvn04144","cvn04144","Endocytosis",0.215369582633501,"Cellular Processes","Transport and catabolism"
"cvn04820","cvn04820","Cytoskeleton in muscle cells",0.234929120483355,"Cellular Processes","Cell motility"
"cvn04814","cvn04814","Motor proteins",-0.235687126788493,"Cellular Processes","Cell motility"
"cvn00240","cvn00240","Pyrimidine metabolism",-0.271807408833953,"Metabolism","Nucleotide metabolism"
"cvn03020","cvn03020","RNA polymerase",0.311757347535455,"Genetic Information Processing","Transcription"
"cvn00900","cvn00900","Terpenoid backbone biosynthesis",0.283591918467033,"Metabolism","Metabolism of terpenoids and polyketides"
"cvn00130","cvn00130","Ubiquinone and other terpenoid-quinone biosynthesis",0.343418458291479,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00071","cvn00071","Fatty acid degradation",0.252757138405472,"Metabolism","Lipid metabolism"
"cvn00480","cvn00480","Glutathione metabolism",-0.2631302965587,"Metabolism","Metabolism of other amino acids"
"cvn00340","cvn00340","Histidine metabolism",-0.286335083851866,"Metabolism","Amino acid metabolism"
"cvn00730","cvn00730","Thiamine metabolism",0.336485071846633,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00062","cvn00062","Fatty acid elongation",-0.343934170266922,"Metabolism","Lipid metabolism"
"cvn00563","cvn00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.27502165296693,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00601","cvn00601","Glycosphingolipid biosynthesis",0.300164818810504,"Metabolism","Glycan biosynthesis and metabolism"
"cvn01232","cvn01232","Nucleotide metabolism",-0.24303596266698,"NA","NA"
"cvn00053","cvn00053","Ascorbate and aldarate metabolism",-0.325807515174636,"Metabolism","Carbohydrate metabolism"
"cvn00590","cvn00590","Arachidonic acid metabolism",-0.297371679677369,"Metabolism","Lipid metabolism"
"cvn00230","cvn00230","Purine metabolism",-0.225187400417974,"Metabolism","Nucleotide metabolism"
"cvn00280","cvn00280","Valine, leucine and isoleucine degradation",-0.241557623692069,"Metabolism","Amino acid metabolism"
"cvn00190","cvn00190","Oxidative phosphorylation",0.224492241020732,"Metabolism","Energy metabolism"
"cvn01240","cvn01240","Biosynthesis of cofactors",-0.221219673280256,"NA","NA"
"cvn00510","cvn00510","N-Glycan biosynthesis",0.240317091203121,"Metabolism","Glycan biosynthesis and metabolism"
"cvn04350","cvn04350","TGF-beta signaling pathway",-0.240748401683945,"Environmental Information Processing","Signal transduction"
"cvn03410","cvn03410","Base excision repair",-0.226859006979563,"Genetic Information Processing","Replication and repair"
"cvn00250","cvn00250","Alanine, aspartate and glutamate metabolism",-0.235321197887963,"Metabolism","Amino acid metabolism"
"cvn03018","cvn03018","RNA degradation",-0.213848661484928,"Genetic Information Processing","Folding, sorting and degradation"
"cvn04330","cvn04330","Notch signaling pathway",-0.240331503699224,"Environmental Information Processing","Signal transduction"
"cvn00670","cvn00670","One carbon pool by folate",0.230596984294586,"Metabolism","Metabolism of cofactors and vitamins"
"cvn04080","cvn04080","Neuroactive ligand-receptor interaction",-0.1922172811549,"Environmental Information Processing","Signaling molecules and interaction"
"cvn03440","cvn03440","Homologous recombination",-0.200183345515328,"Genetic Information Processing","Replication and repair"
"cvn00785","cvn00785","Lipoic acid metabolism",0.202648846881934,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00061","cvn00061","Fatty acid biosynthesis",-0.195900295032405,"Metabolism","Lipid metabolism"
