"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","MatchesCount"
"21","cvn04310","Wnt signaling pathway",68,0.483121557022858,1.39896550005966,0.0344827586206897,0.260775862068966,0.233666061705989,3748,"tags=44%, list=28%, signal=32%","111134796/111121723/111116519/111114913/111119203/111103827/111103778/111121740/111123003/111135857/111133687/111108759/111126345/111135231/111118435/111124929/111125644/111109809/111117024/111125819/111119924/111101169/111127135/111108394/111129084/111121739/111135006/111115059/111105834/111131147",1
"22","cvn01250","Biosynthesis of nucleotide sugars",31,0.537790076370465,1.38849210274406,0.0672748004561003,0.364831453898571,0.3269042170644,3069,"tags=35%, list=23%, signal=28%","111100603/111118471/111124535/111124599/111127562/111099882/111132797/111118006/111109888/111129163/111128700",1
"23","cvn00640","Propanoate metabolism",28,0.498941294760311,1.26805636033174,0.174621653084983,0.579441091577014,0.519203413940256,1979,"tags=25%, list=15%, signal=21%","111105925/111130103/111107112/111105866/111099995/111100523/111109254",1
"24","cvn00310","Lysine degradation",31,0.473231464770024,1.2218115961488,0.200684150513113,0.587127592708988,0.526090839921929,3092,"tags=39%, list=23%, signal=30%","111123912/111103451/111112920/111115614/111121380/111137017/111109254/111130627/111131506/111103498/111130847/111107127",1
"25","cvn00561","Glycerolipid metabolism",34,0.461596900703599,1.20721653693419,0.205649717514124,0.587127592708988,0.526090839921929,2378,"tags=29%, list=18%, signal=24%","111115675/111131656/111103451/111100277/111112920/111109442/111115614/111122823/111136067/111103498",1
"26","cvn00970","Aminoacyl-tRNA biosynthesis",45,0.435142094528501,1.18775710895337,0.219193020719738,0.589385677935296,0.528114178576212,902,"tags=13%, list=7%, signal=12%","111118963/111135733/111126003/111119553/111118652/111125723",1
"27","cvn01200","Carbon metabolism",108,0.37741913069776,1.13512545317236,0.241902834008097,0.609514393992891,0.546150348684366,3245,"tags=27%, list=24%, signal=21%","111105925/111134810/111116065/111131656/111130103/111100625/111107112/111105866/111134248/111111213/111111035/111122808/111099882/111128990/111117164/111127323/111109254/111123214/111117165/111109454/111120752/111121719/111134458/111109973/111119284/111102576/111106299/111137005/111116870",1
"28","cvn00520","Amino sugar and nucleotide sugar metabolism",46,0.389821920767928,1.07245243224639,0.38327904451683,0.708922836559326,0.635224464250636,3069,"tags=22%, list=23%, signal=17%","111100603/111118471/111124535/111124599/111099882/111132797/111118006/111109888/111129163/111128700",1
"29","cvn00020","Citrate cycle (TCA cycle)",37,0.403728097206018,1.07045145062509,0.390189520624303,0.708922836559326,0.635224464250636,2308,"tags=27%, list=17%, signal=22%","111105925/111100625/111105866/111111213/111128990/111117164/111127323/111109254/111103886/111117165",1
"30","cvn00260","Glycine, serine and threonine metabolism",35,0.403518107191908,1.06310762521327,0.392817059483726,0.708922836559326,0.635224464250636,1979,"tags=20%, list=15%, signal=17%","111134403/111116065/111100724/111108232/111125858/111135360/111109254",1
"31","cvn03083","Polycomb repressive complex",38,0.389115163593443,1.03552796366176,0.448275862068966,0.708922836559326,0.635224464250636,865,"tags=11%, list=6%, signal=10%","111123912/111104330/111104315/111123056",1
"32","cvn03018","RNA degradation",54,0.35963312756773,1.01534167535923,0.474866310160428,0.708922836559326,0.635224464250636,2865,"tags=22%, list=21%, signal=18%","111100321/111101883/111126014/111109182/111101096/111131294/111104518/111122313/111123162/111134434/111131610/111108235",1
"33","cvn04068","FoxO signaling pathway",66,0.350043559020527,1.01094107254262,0.474452554744526,0.708922836559326,0.635224464250636,3392,"tags=29%, list=25%, signal=22%","111105936/111129300/111121723/111134248/111121740/111135557/111135231/111119845/111125223/111105462/111117024/111119924/111108199/111121135/111104196/111113171/111121739/111103474/111121090",1
"34","cvn00564","Glycerophospholipid metabolism",45,0.367236385521191,1.0024027393667,0.497273718647764,0.723131738217877,0.647956233461865,2819,"tags=27%, list=21%, signal=21%","111115675/111114331/111120839/111100277/111100381/111111015/111122823/111136067/111138290/111101119/111137103/111121119",1
"35","cvn01240","Biosynthesis of cofactors",101,0.329819453694141,0.987106104765473,0.546192893401015,0.752533783783784,0.674301694038536,2027,"tags=16%, list=15%, signal=14%","111127901/111116065/111128337/111138462/111124535/111136728/111103451/111124599/111126157/111108232/111134405/111118263/111104850/111122042/111109254/111132797",1
"36","cvn00480","Glutathione metabolism",38,0.351499353688711,0.935423350229546,0.588431590656285,0.782420027136379,0.701081016050866,3230,"tags=29%, list=24%, signal=22%","111137298/111124500/111136821/111127513/111121161/111101605/111126505/111119277/111118358/111138068/111137005",1
"37","cvn04136","Autophagy - other",24,0.351287243295367,0.863886051631379,0.669491525423729,0.86641975308642,0.776348278102664,3963,"tags=42%, list=29%, signal=30%","111115682/111133363/111135071/111120866/111108144/111106048/111129370/111123262/111119270/111120906",1
"38","cvn04120","Ubiquitin mediated proteolysis",117,0.300422600251204,0.908903136449492,0.695959595959596,0.86736900780379,0.777198849967729,3341,"tags=29%, list=25%, signal=22%","111119906/111119134/111100416/111101598/111108202/111127369/111134817/111100408/111135325/111135857/111119846/111129312/111100417/111126102/111121932/111135620/111125231/111120881/111125292/111108501/111131216/111104494/111128115/111129365/111105462/111101169/111121135/111124761/111131720/111104196/111130310/111108006/111135880/111134540",1
"39","cvn03022","Basal transcription factors",27,0.332550349454058,0.840650753903996,0.690866510538642,0.86736900780379,0.777198849967729,3043,"tags=26%, list=22%, signal=20%","111136115/111135800/111130231/111101884/111104805/111134971/111130101",1
"40","cvn00190","Oxidative phosphorylation",53,0.289896387582118,0.815086874190522,0.771797631862217,0.891016200294551,0.798387721882025,1729,"tags=11%, list=13%, signal=10%","111135946/111104128/111100625/111117675/111130836/111102414",1
"41","cvn02010","ABC transporters",39,0.259030408770243,0.691419050932657,0.895555555555556,0.926172839506173,0.829889538661469,1264,"tags=10%, list=9%, signal=9%","111133303/111110863/111134411/111112991",1
"42","cvn04150","mTOR signaling pathway",84,0.223544813993414,0.658514286382703,0.95169578622816,0.959626584446728,0.859865491065794,3029,"tags=23%, list=22%, signal=18%","111115675/111110025/111123312/111130836/111102874/111133687/111102243/111135114/111126345/111135557/111120866/111124929/111136710/111100612/111108199/111121135/111132325/111127135/111108394",1
