"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
222 0.359218691802376 2 88 "GO:0003712" "transcription coregulator activity" 0.778776032640454
698 0.13873715244638 2 23 "GO:0003713" "transcription coactivator activity" 0.700443910012074
-2 0.996369807445481 2 39 "GO:0003714" "transcription corepressor activity" 0.997483508567761
157 0.149274121922677 2 454 "GO:0003723" "RNA binding" 0.700443910012074
-343 0.599141904761256 4 12 "GO:0003725" "double-stranded RNA binding" 0.905940954757154
284 0.23562419854708 4 90 "GO:0003729" "mRNA binding" 0.725597985826873
24 0.970148546894392 5 12 "GO:0003730" "mRNA 3'-UTR binding" 0.993274967972559
-134 0.600701348796766 2 79 "GO:0003735" "structural constituent of ribosome" 0.905940954757154
48 0.934095891214196 3 15 "GO:0003743" "translation initiation factor activity" 0.993274967972559
-974 0.0540280400810658 2 20 "GO:0003746" "translation elongation factor activity" 0.628947347516339
1027 0.0892080404777588 2 14 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 0.678479724219649
1630 0.0412803722862427 2 8 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.610200123449124
116 0.661948177988476 3 73 "GO:0003774" "motor activity" 0.905940954757154
-285 0.419713438005019 2 41 "GO:0003777" "microtubule motor activity" 0.818557147048462
-562 0.0736934095156853 4 52 "GO:0003779" "actin binding" 0.630303371662961
98 0.915019818592869 5 6 "GO:0003785" "actin monomer binding" 0.993274967972559
-1104 0.142683648487607 5 9 "GO:0003884" "D-amino-acid oxidase activity" 0.700443910012074
-482 0.600998833551536 3 6 "GO:0003899" "DNA-directed 5'-3' RNA polymerase activity" 0.905940954757154
-466 0.644579731967653 3 5 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.905940954757154
280 0.127908915587087 2 154 "GO:0003924" "GTPase activity" 0.700443910012074
-942 0.351018853532074 2 5 "GO:0003939" "L-iditol 2-dehydrogenase activity" 0.778776032640454
124 0.792190727775326 2 23 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.955508073277761
-1151 0.254476562238058 2 5 "GO:0003954" "NADH dehydrogenase activity" 0.725597985826873
133 0.867808710477834 2 8 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 0.992148336499689
544 0.446582695872307 3 10 "GO:0003993" "acid phosphatase activity" 0.838530274696406
1441 0.0914335439669614 2 7 "GO:0003994" "aconitate hydratase activity" 0.678479724219649
1008 0.274612723441363 2 6 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.725597985826873
-757 0.453878586111466 2 5 "GO:0004016" "adenylate cyclase activity" 0.843258636301829
-225 0.765147862676413 6 9 "GO:0004017" "adenylate kinase activity" 0.949458820860362
537 0.452041455149176 6 10 "GO:0004029;GO:0004030" "aldehyde dehydrogenase (NAD+) activity" 0.843258636301829
911 0.28580410940123 5 7 "GO:0004032;GO:0008106;GO:0004033" "aldo-keto reductase (NADP) activity" 0.725597985826873
-523 0.604966373840504 5 5 "GO:0004034" "aldose 1-epimerase activity" 0.905940954757154
-1299 0.103790099455697 3 8 "GO:0004035" "alkaline phosphatase activity" 0.678479724219649
-1642 0.0749936022941767 4 6 "GO:0004061" "arylformamidase activity" 0.630303371662961
-1029 0.30848903912691 2 5 "GO:0004065" "arylsulfatase activity" 0.725597985826873
190 0.662429482380234 3 27 "GO:0004089" "carbonate dehydratase activity" 0.905940954757154
-1274 0.135666006291875 5 7 "GO:0004090" "carbonyl reductase (NADPH) activity" 0.700443910012074
-296 0.711315544670171 3 8 "GO:0004095;GO:0016406;GO:0016416" "carnitine O-acyltransferase activity" 0.928726812322651
-315 0.565155664774824 4 17 "GO:0004100" "chitin synthase activity" 0.891170370025974
-611 0.265392728407308 2 17 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.725597985826873
105 0.909640993818122 2 6 "GO:0004115" "3',5'-cyclic-AMP phosphodiesterase activity" 0.993274967972559
639 0.527335833186028 2 5 "GO:0004143" "diacylglycerol kinase activity" 0.877906322412115
132 0.226874100409178 2 452 "GO:0004175;GO:0008233" "peptidase activity" 0.725597985826873
-294 0.666477637192567 3 11 "GO:0004176" "ATP-dependent peptidase activity" 0.905940954757154
850 0.258976367033004 5 9 "GO:0004177" "aminopeptidase activity" 0.725597985826873
434 0.356989384828663 2 23 "GO:0004180" "carboxypeptidase activity" 0.778776032640454
699 0.353362649086322 4 9 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.778776032640454
7 0.976247781029591 2 100 "GO:0004197;GO:0008234" "cysteine-type peptidase activity" 0.993274967972559
589 0.21159961138122 5 23 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.725597985826873
13 0.937913184651624 2 180 "GO:0004222;GO:0008237" "metallopeptidase activity" 0.993274967972559
21 0.935391985092997 2 76 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 0.993274967972559
370 0.623087715950377 4 9 "GO:0004312" "fatty acid synthase activity" 0.905940954757154
-485 0.283900315234323 3 25 "GO:0004364" "glutathione transferase activity" 0.725597985826873
1359 0.140594882104668 4 6 "GO:0004379;GO:0019107" "myristoyltransferase activity" 0.700443910012074
1293 0.16076590285005 2 6 "GO:0004382;GO:0017110" "nucleoside-diphosphatase activity" 0.712470886615965
-491 0.538700056590562 3 8 "GO:0004383" "guanylate cyclase activity" 0.877906322412115
294 0.639049362321912 3 13 "GO:0004386" "helicase activity" 0.905940954757154
697 0.306030680691163 4 11 "GO:0004407;GO:0033558;GO:0019213" "deacetylase activity" 0.725597985826873
-1659 0.0721122363682782 3 6 "GO:0004435;GO:0004629" "phosphatidylinositol phospholipase C activity" 0.630303371662961
-627 0.496877502126321 7 6 "GO:0004439;GO:0034595;GO:0106019;GO:0052866;GO:0034593" "phosphatidylinositol phosphate phosphatase activity" 0.868305733913818
283 0.779224896300206 5 5 "GO:0004467;GO:0015645" "long-chain fatty acid-CoA ligase activity" 0.949458820860362
-187 0.464050644062702 2 79 "GO:0004497" "monooxygenase activity" 0.848755841213129
374 0.685313585427261 2 6 "GO:0004499" "N,N-dimethylaniline monooxygenase activity" 0.916347332029633
102 0.871291740268849 5 13 "GO:0004500;GO:0016715" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen" 0.992148336499689
373 0.269649054494809 2 45 "GO:0004518" "nuclease activity" 0.725597985826873
120 0.804132209962836 3 22 "GO:0004519" "endonuclease activity" 0.958981993638112
-125 0.868375859710109 2 9 "GO:0004521" "endoribonuclease activity" 0.992148336499689
583 0.439304281859308 3 9 "GO:0004531;GO:0016889;GO:0016894" "endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters" 0.833368422019136
654 0.278865576806111 3 14 "GO:0004536;GO:0004520" "deoxyribonuclease activity" 0.725597985826873
481 0.251871480911669 3 29 "GO:0004540" "ribonuclease activity" 0.725597985826873
1714 0.0896718527165518 2 5 "GO:0004550" "nucleoside diphosphate kinase activity" 0.678479724219649
-243 0.218033798429297 3 133 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.725597985826873
-310 0.758937488745285 5 5 "GO:0004558;GO:0090599" "alpha-glucosidase activity" 0.949458820860362
-410 0.529510614036719 5 12 "GO:0004559;GO:0015923" "mannosidase activity" 0.877906322412115
343 0.476989657402611 4 22 "GO:0004560;GO:0015928" "fucosidase activity" 0.853572691862087
-637 0.245579466756502 2 17 "GO:0004563;GO:0015929" "beta-N-acetylhexosaminidase activity" 0.725597985826873
-1452 0.150659026873083 6 5 "GO:0004565" "beta-galactosidase activity" 0.700443910012074
-62 0.905385751648264 2 19 "GO:0004568" "chitinase activity" 0.993274967972559
-730 0.428731017175327 2 6 "GO:0004571;GO:0015924" "mannosyl-oligosaccharide 1,2-alpha-mannosidase activity" 0.827005732584101
-330 0.294018176996984 2 52 "GO:0004601;GO:0016209;GO:0016684" "antioxidant activity" 0.725597985826873
-440 0.161814003889523 2 52 "GO:0004620;GO:0016298" "lipase activity" 0.712470886615965
641 0.28865625738648 2 14 "GO:0004623" "phospholipase A2 activity" 0.725597985826873
-1310 0.0666581985899665 3 10 "GO:0004630;GO:0004621" "phospholipase D activity" 0.630303371662961
-892 0.212103796637727 3 10 "GO:0004656;GO:0019798;GO:0031545;GO:0031543" "procollagen-proline 4-dioxygenase activity" 0.725597985826873
892 0.103599724043842 3 17 "GO:0004659" "prenyltransferase activity" 0.678479724219649
258 0.0327943199371898 2 367 "GO:0004672;GO:0016773" "phosphotransferase activity, alcohol group as acceptor" 0.610200123449124
199 0.283080839573287 3 152 "GO:0004674" "protein serine/threonine kinase activity" 0.725597985826873
2308 0.0123128076571658 5 6 "GO:0004675;GO:0005024" "transmembrane receptor protein serine/threonine kinase activity" 0.395129191179957
-548 0.400597132627133 2 12 "GO:0004683" "calmodulin-dependent protein kinase activity" 0.803470385326011
-465 0.536828076566369 4 9 "GO:0004693;GO:0097472" "cyclin-dependent protein kinase activity" 0.877906322412115
93 0.891643958900085 5 11 "GO:0004707" "MAP kinase activity" 0.993274967972559
321 0.223603592459319 4 74 "GO:0004713" "protein tyrosine kinase activity" 0.725597985826873
545 0.102386003694031 4 46 "GO:0004714;GO:0019199" "transmembrane receptor protein kinase activity" 0.678479724219649
313 0.50726256555958 2 23 "GO:0004715" "non-membrane spanning protein tyrosine kinase activity" 0.877906322412115
16 0.973751813027905 5 22 "GO:0004722" "protein serine/threonine phosphatase activity" 0.993274967972559
-247 0.106750357390163 2 224 "GO:0004725;GO:0004721" "phosphoprotein phosphatase activity" 0.685143202885955
166 0.756081590528188 4 18 "GO:0004748;GO:0061731;GO:0016728;GO:0016725" "oxidoreductase activity, acting on CH or CH2 groups" 0.949458820860362
-303 0.742437153772552 3 6 "GO:0004784;GO:0016721" "oxidoreductase activity, acting on superoxide radicals as acceptor" 0.949458820860362
-1210 0.189618950938475 2 6 "GO:0004806" "triglyceride lipase activity" 0.725597985826873
558 0.282267812835664 3 19 "GO:0004812;GO:0016875" "ligase activity, forming carbon-oxygen bonds" 0.725597985826873
-251 0.785886636461826 2 6 "GO:0004833" "tryptophan 2,3-dioxygenase activity" 0.953326400931356
34 0.880396772018038 3 101 "GO:0004842;GO:0019787" "ubiquitin-protein transferase activity" 0.993274967972559
565 0.0666702685450872 3 54 "GO:0004843;GO:0008242;GO:0101005" "thiol-dependent ubiquitin-specific protease activity" 0.630303371662961
-116 0.657450954083995 4 75 "GO:0004866;GO:0030414;GO:0061135;GO:0004857;GO:0061134" "enzyme inhibitor activity" 0.905940954757154
-435 0.230026431456271 2 39 "GO:0004867" "serine-type endopeptidase inhibitor activity" 0.725597985826873
-529 0.417658762106468 2 12 "GO:0004869" "cysteine-type endopeptidase inhibitor activity" 0.818557147048462
68 0.494538392059044 2 546 "GO:0004888;GO:0038023;GO:0060089" "signaling receptor activity" 0.868305733913818
35 0.799562538101331 4 286 "GO:0004930" "G protein-coupled receptor activity" 0.958981993638112
383 0.653707570837361 7 7 "GO:0004957;GO:0004955;GO:0004954;GO:0004953" "prostaglandin receptor activity" 0.905940954757154
853 0.050132999280324 4 27 "GO:0004970;GO:0022824;GO:0005230;GO:0022835;GO:0030594" "extracellular ligand-gated ion channel activity" 0.628947347516339
505 0.617189161835754 3 5 "GO:0004972" "NMDA glutamate receptor activity" 0.905940954757154
255 0.764880251780015 5 7 "GO:0005000" "vasopressin receptor activity" 0.949458820860362
-178 0.186544548428508 2 293 "GO:0005044;GO:0038024" "scavenger receptor activity" 0.725597985826873
630 0.532851991975297 4 5 "GO:0005048" "signal sequence binding" 0.877906322412115
207 0.405630617465587 5 83 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.808969536527414
206 0.432285730403157 2 75 "GO:0005096;GO:0008047" "enzyme activator activity" 0.829330776262578
87 0.679496857287089 2 118 "GO:0005102" "signaling receptor binding" 0.915505307718864
-428 0.43511768969414 2 17 "GO:0005109" "frizzled binding" 0.830251591686656
509 0.382790836797165 2 15 "GO:0005112" "Notch binding" 0.779352690725935
1292 0.130222257962699 2 7 "GO:0005125" "cytokine activity" 0.700443910012074
157 0.774702468466985 4 17 "GO:0005164;GO:0032813;GO:0005126" "cytokine receptor binding" 0.949458820860362
5 0.991802843886998 3 19 "GO:0005178;GO:0050839" "cell adhesion molecule binding" 0.997454142142764
-547 0.521505953100363 2 7 "GO:0005179" "hormone activity" 0.877906322412115
1 0.997483508567761 1 111 "GO:0005198" "structural molecule activity" 0.997483508567761
1563 0.038000784741258 2 9 "GO:0005201" "extracellular matrix structural constituent" 0.610200123449124
-188 0.219847950340786 3 224 "GO:0005216;GO:0015267;GO:0022803" "passive transmembrane transporter activity" 0.725597985826873
-9 0.989925402336375 2 11 "GO:0005217" "intracellular ligand-gated ion channel activity" 0.997454142142764
584 0.526307506914524 2 6 "GO:0005220;GO:0015278;GO:0099604" "calcium-release channel activity" 0.877906322412115
-720 0.475902662735063 7 5 "GO:0005222;GO:0005221;GO:0043855" "intracellular cyclic nucleotide activated cation channel activity" 0.853572691862087
-277 0.275031359810464 4 80 "GO:0005244;GO:0022832;GO:0022843" "voltage-gated channel activity" 0.725597985826873
-337 0.378804192971141 4 35 "GO:0005245" "voltage-gated calcium channel activity" 0.779352690725935
-615 0.441472790134783 2 8 "GO:0005247;GO:0008308" "voltage-gated anion channel activity" 0.833368422019136
-132 0.712512835977291 2 40 "GO:0005249;GO:0005267;GO:0015079" "potassium ion transmembrane transporter activity" 0.928726812322651
-811 0.310280500911044 5 8 "GO:0005251" "delayed rectifier potassium channel activity" 0.725597985826873
-909 0.0368249130168588 3 27 "GO:0005254;GO:0005253;GO:0015108" "chloride transmembrane transporter activity" 0.610200123449124
-155 0.380422661141601 3 167 "GO:0005261" "cation channel activity" 0.779352690725935
-292 0.249140515510837 2 80 "GO:0005262;GO:0015085" "calcium ion transmembrane transporter activity" 0.725597985826873
56 0.902793980059822 2 24 "GO:0005313;GO:0015172;GO:0015179;GO:0015245;GO:0015171" "L-amino acid transmembrane transporter activity" 0.993274967972559
135 0.641598440008482 2 61 "GO:0005319" "lipid transporter activity" 0.905940954757154
88 0.917973993457945 5 7 "GO:0005347;GO:0000295;GO:0005346;GO:0015216;GO:0015215;GO:0015605" "organophosphate ester transmembrane transporter activity" 0.993274967972559
125 0.778448175946296 7 26 "GO:0005355;GO:0015149;GO:0015145;GO:0051119;GO:0015144" "carbohydrate transmembrane transporter activity" 0.949458820860362
-871 0.0593140678574955 4 24 "GO:0005385" "zinc ion transmembrane transporter activity" 0.630303371662961
141 0.814920468877358 2 14 "GO:0005402;GO:0005412" "carbohydrate:cation symporter activity" 0.96857550678016
-75 0.901431527120728 3 14 "GO:0005415;GO:0005337" "nucleoside transmembrane transporter activity" 0.993274967972559
-1270 0.0918487993429231 4 9 "GO:0005432;GO:0015368;GO:0015491;GO:0015298" "cation:cation antiporter activity" 0.678479724219649
387 0.569980589209268 2 11 "GO:0005452" "inorganic anion exchanger activity" 0.891170370025974
951 0.0924916187835478 2 16 "GO:0005484" "SNAP receptor activity" 0.678479724219649
-382 0.705210768308843 4 5 "GO:0005501;GO:0019840" "retinoid binding" 0.928726812322651
-134 0.654524193421429 2 57 "GO:0005506" "iron ion binding" 0.905940954757154
-521 0.127081783746929 6 44 "GO:0005507" "copper ion binding" 0.700443910012074
-64 0.549624071538463 5 467 "GO:0005509" "calcium ion binding" 0.877906322412115
-1327 0.0342659886200511 2 13 "GO:0005516" "calmodulin binding" 0.610200123449124
-15 0.96407360965985 3 48 "GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882" "GTP binding" 0.993274967972559
409 0.210891643294929 2 48 "GO:0005543" "phospholipid binding" 0.725597985826873
1483 0.0379802320015057 3 10 "GO:0005544" "calcium-dependent phospholipid binding" 0.610200123449124
879 0.303114516719189 5 7 "GO:0005546;GO:1902936" "phosphatidylinositol-4,5-bisphosphate binding" 0.725597985826873
-1049 0.0942109985017716 5 13 "GO:0008017;GO:0015631" "microtubule binding" 0.678479724219649
3 0.989471737572786 5 79 "GO:0008028;GO:0046943;GO:0005342" "organic acid transmembrane transporter activity" 0.997454142142764
984 0.00538230814907099 4 41 "GO:0008066" "glutamate receptor activity" 0.31665912943701
464 0.496090527439833 2 11 "GO:0008080" "N-acetyltransferase activity" 0.868305733913818
-1030 0.00710256918425414 2 35 "GO:0008081" "phosphoric diester hydrolase activity" 0.35817241743453
-478 0.0780192324659344 2 70 "GO:0008092" "cytoskeletal protein binding" 0.640483466522671
-554 0.548377566150848 3 6 "GO:0008126" "acetylesterase activity" 0.877906322412115
-538 0.111291857893206 2 45 "GO:0008135;GO:0090079;GO:0045182" "translation regulator activity" 0.692786648524292
104 0.845515958180746 4 18 "GO:0008146;GO:0016782" "transferase activity, transferring sulfur-containing groups" 0.988301765688091
186 0.546279521141429 3 54 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.877906322412115
1275 0.0506403582899318 2 12 "GO:0008170" "N-methyltransferase activity" 0.628947347516339
1966 0.0330506340575051 4 6 "GO:0008171" "O-methyltransferase activity" 0.610200123449124
760 0.28782829353016 3 10 "GO:0008173" "RNA methyltransferase activity" 0.725597985826873
105 0.780008663029759 5 36 "GO:0008188;GO:0004983" "neuropeptide receptor activity" 0.949458820860362
-461 0.540535142692641 5 9 "GO:0008227" "G protein-coupled amine receptor activity" 0.877906322412115
441 0.383539901565681 4 20 "GO:0008235;GO:0004181" "metalloexopeptidase activity" 0.779352690725935
535 0.156279327664246 2 36 "GO:0008238" "exopeptidase activity" 0.707264136736908
-1139 0.153935825614404 6 8 "GO:0008253;GO:0008252" "nucleotidase activity" 0.705705797946553
-124 0.269671518455991 3 429 "GO:0008270;GO:0046914" "transition metal ion binding" 0.725597985826873
2619 0.00451138828506438 3 6 "GO:0008276" "protein methyltransferase activity" 0.31665912943701
307 0.257276554262311 2 70 "GO:0008289" "lipid binding" 0.725597985826873
818 0.337925008234233 2 7 "GO:0008318" "protein prenyltransferase activity" 0.769596954236673
585 0.300329517177272 4 16 "GO:0008374" "O-acyltransferase activity" 0.725597985826873
-452 0.218609331777592 3 38 "GO:0008375;GO:0008194" "UDP-glycosyltransferase activity" 0.725597985826873
-255 0.684496074833441 2 13 "GO:0008483;GO:0016769" "transaminase activity" 0.916347332029633
-313 0.677407684185848 2 9 "GO:0008484" "sulfuric ester hydrolase activity" 0.915505307718864
-10 0.951426115509858 2 194 "GO:0008509" "anion transmembrane transporter activity" 0.993274967972559
-16 0.965710686958846 3 35 "GO:0008514" "organic anion transmembrane transporter activity" 0.993274967972559
130 0.706424811216985 2 43 "GO:0008528" "G protein-coupled peptide receptor activity" 0.928726812322651
890 0.0341159964398677 2 29 "GO:0008757" "S-adenosylmethionine-dependent methyltransferase activity" 0.610200123449124
-646 0.268073541259881 2 15 "GO:0009975;GO:0016849" "cyclase activity" 0.725597985826873
207 0.837922772894747 4 5 "GO:0015036" "disulfide oxidoreductase activity" 0.982680195454637
-204 0.0453210446676561 3 527 "GO:0015075;GO:0015318;GO:0022857;GO:0005215" "transporter activity" 0.628947347516339
-252 0.208495780944344 3 129 "GO:0015077" "monovalent inorganic cation transmembrane transporter activity" 0.725597985826873
-32 0.949560565527618 4 20 "GO:0015078" "proton transmembrane transporter activity" 0.993274967972559
-343 0.208967044102455 2 69 "GO:0015081" "sodium ion transmembrane transporter activity" 0.725597985826873
423 0.596144518068493 2 8 "GO:0015101;GO:0005307;GO:0015220" "organic cation transmembrane transporter activity" 0.905940954757154
-378 0.2680623564072 4 44 "GO:0015103" "inorganic anion transmembrane transporter activity" 0.725597985826873
-23 0.970729199719585 2 13 "GO:0015252" "proton channel activity" 0.993274967972559
164 0.58187070513026 4 58 "GO:0015276;GO:0022834" "ligand-gated ion channel activity" 0.90484739608362
-311 0.548404788050383 4 19 "GO:0015280;GO:0005272" "sodium channel activity" 0.877906322412115
-36 0.914218625847893 3 45 "GO:0015294;GO:0015293;GO:0015370" "solute:cation symporter activity" 0.993274967972559
459 0.618671312619382 2 6 "GO:0015295" "solute:proton symporter activity" 0.905940954757154
-1014 0.0727865707918241 3 16 "GO:0015297" "antiporter activity" 0.630303371662961
-1613 0.0588245812487057 2 7 "GO:0015925" "galactosidase activity" 0.630303371662961
375 0.639170565447054 2 8 "GO:0015926" "glucosidase activity" 0.905940954757154
207 0.661407334191554 5 23 "GO:0015932;GO:1901505" "nucleobase-containing compound transmembrane transporter activity" 0.905940954757154
360 0.597781431333729 3 11 "GO:0016229" "steroid dehydrogenase activity" 0.905940954757154
315 0.00427285492401393 2 446 "GO:0016301;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.31665912943701
-224 0.754452656945207 4 10 "GO:0016405" "CoA-ligase activity" 0.949458820860362
676 0.204641553057665 4 18 "GO:0016407" "acetyltransferase activity" 0.725597985826873
191 0.760613824468626 4 13 "GO:0016408" "C-acyltransferase activity" 0.949458820860362
-189 0.754026227612292 4 14 "GO:0016409" "palmitoyltransferase activity" 0.949458820860362
685 0.186655343217435 3 19 "GO:0016410" "N-acyltransferase activity" 0.725597985826873
1028 0.308865635862907 5 5 "GO:0016411" "acylglycerol O-acyltransferase activity" 0.725597985826873
-488 0.51724358353459 2 9 "GO:0016421;GO:0016885" "ligase activity, forming carbon-carbon bonds" 0.877906322412115
-197 0.0679660558800506 2 465 "GO:0016491" "oxidoreductase activity" 0.630303371662961
-503 0.0738437819744394 4 65 "GO:0016616;GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 0.630303371662961
342 0.710607770550983 2 6 "GO:0016624" "oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor" 0.928726812322651
538 0.21655151002808 3 27 "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 0.725597985826873
1075 0.208081376170936 2 7 "GO:0016634" "oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor" 0.725597985826873
-464 0.426150843527556 4 15 "GO:0016641;GO:0016638" "oxidoreductase activity, acting on the CH-NH2 group of donors" 0.826545317391359
-407 0.457714383495423 3 17 "GO:0016645" "oxidoreductase activity, acting on the CH-NH group of donors" 0.845932865831855
-537 0.475780111687201 2 9 "GO:0016646" "oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor" 0.853572691862087
-109 0.856358451466154 3 14 "GO:0016651" "oxidoreductase activity, acting on NAD(P)H" 0.992148336499689
-530 0.416887412802984 3 12 "GO:0016667" "oxidoreductase activity, acting on a sulfur group of donors" 0.818557147048462
422 0.647447168186106 2 6 "GO:0016668" "oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor" 0.905940954757154
-698 0.248035663702432 3 14 "GO:0016702;GO:0016701" "oxidoreductase activity, acting on single donors with incorporation of molecular oxygen" 0.725597985826873
-470 0.117212037151389 3 57 "GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" 0.700443910012074
-1455 0.0100145731162562 2 16 "GO:0016706" "2-oxoglutarate-dependent dioxygenase activity" 0.395129191179957
-458 0.418114451525311 4 16 "GO:0016709" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen" 0.818557147048462
-76 0.940383794829273 4 5 "GO:0016714" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen" 0.993274967972559
-460 0.362842354761215 3 20 "GO:0016722" "oxidoreductase activity, oxidizing metal ions" 0.779352690725935
237 0.00331666527087963 2 881 "GO:0016740" "transferase activity" 0.31665912943701
376 0.113828967746201 2 91 "GO:0016747;GO:0016746" "transferase activity, transferring acyl groups" 0.692786648524292
503 0.585235468904107 3 6 "GO:0016755;GO:0003810" "transferase activity, transferring amino-acyl groups" 0.905940954757154
-199 0.37253562036807 2 104 "GO:0016757" "transferase activity, transferring glycosyl groups" 0.779352690725935
-146 0.599842943825605 2 66 "GO:0016758" "transferase activity, transferring hexosyl groups" 0.905940954757154
-267 0.478774484387233 3 36 "GO:0016763" "transferase activity, transferring pentosyl groups" 0.853572691862087
325 0.310383274390532 2 50 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 0.725597985826873
