"","ID","Description","enrichmentScore","GeneralPathway","DetailedPathway"
"cvn00563","cvn00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.535853977304849,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00100","cvn00100","Steroid biosynthesis",0.605695174590771,"Metabolism","Lipid metabolism"
"cvn00760","cvn00760","Nicotinate and nicotinamide metabolism",0.513094569617147,"Metabolism","Metabolism of cofactors and vitamins"
"cvn04512","cvn04512","ECM-receptor interaction",0.511361020575244,"Environmental Information Processing","Signaling molecules and interaction"
"cvn00310","cvn00310","Lysine degradation",0.472404635787429,"Metabolism","Amino acid metabolism"
"cvn00561","cvn00561","Glycerolipid metabolism",0.462550117017727,"Metabolism","Lipid metabolism"
"cvn04140","cvn04140","Autophagy",0.402617410429359,"Cellular Processes","Transport and catabolism"
"cvn03050","cvn03050","Proteasome",-0.342657113172117,"Genetic Information Processing","Folding, sorting and degradation"
"cvn03410","cvn03410","Base excision repair",0.43280096467075,"Genetic Information Processing","Replication and repair"
"cvn00970","cvn00970","Aminoacyl-tRNA biosynthesis",0.435174610854304,"Genetic Information Processing","Translation"
"cvn04148","cvn04148","Efferocytosis",0.400046726592647,"Cellular Processes","Transport and catabolism"
"cvn03040","cvn03040","Spliceosome",0.398846254169128,"Genetic Information Processing","Transcription"
"cvn04145","cvn04145","Phagosome",-0.26430869295056,"Cellular Processes","Transport and catabolism"
"cvn00500","cvn00500","Starch and sucrose metabolism",0.49338664834314,"Metabolism","Carbohydrate metabolism"
"cvn00250","cvn00250","Alanine, aspartate and glutamate metabolism",0.45826189275488,"Metabolism","Amino acid metabolism"
"cvn00410","cvn00410","beta-Alanine metabolism",0.463417191950258,"Metabolism","Metabolism of other amino acids"
"cvn00983","cvn00983","Drug metabolism",0.437279227444422,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn00230","cvn00230","Purine metabolism",0.397907796707473,"Metabolism","Nucleotide metabolism"
"cvn04141","cvn04141","Protein processing in endoplasmic reticulum",0.385269181900122,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00620","cvn00620","Pyruvate metabolism",0.432021198456419,"Metabolism","Carbohydrate metabolism"
"cvn00010","cvn00010","Glycolysis / Gluconeogenesis",0.422781932061145,"Metabolism","Carbohydrate metabolism"
"cvn00350","cvn00350","Tyrosine metabolism",0.531656495138835,"Metabolism","Amino acid metabolism"
"cvn01200","cvn01200","Carbon metabolism",0.377280648260267,"NA","NA"
"cvn00062","cvn00062","Fatty acid elongation",0.544332043469596,"Metabolism","Lipid metabolism"
"cvn00340","cvn00340","Histidine metabolism",0.445909541036642,"Metabolism","Amino acid metabolism"
"cvn00601","cvn00601","Glycosphingolipid biosynthesis",0.502067135989604,"Metabolism","Glycan biosynthesis and metabolism"
"cvn04137","cvn04137","Mitophagy",0.388401130731685,"Cellular Processes","Transport and catabolism"
"cvn01210","cvn01210","2-Oxocarboxylic acid metabolism",0.42631008046536,"NA","NA"
"cvn04142","cvn04142","Lysosome",0.363187951721988,"Cellular Processes","Transport and catabolism"
"cvn00450","cvn00450","Selenocompound metabolism",0.500543306251864,"Metabolism","Metabolism of other amino acids"
"cvn00020","cvn00020","Citrate cycle (TCA cycle)",0.403887107598923,"Metabolism","Carbohydrate metabolism"
"cvn01232","cvn01232","Nucleotide metabolism",0.386668920948086,"NA","NA"
"cvn03030","cvn03030","DNA replication",0.409560896759302,"Genetic Information Processing","Replication and repair"
"cvn00260","cvn00260","Glycine, serine and threonine metabolism",0.402648639629394,"Metabolism","Amino acid metabolism"
"cvn00520","cvn00520","Amino sugar and nucleotide sugar metabolism",0.389675326041038,"Metabolism","Carbohydrate metabolism"
"cvn03440","cvn03440","Homologous recombination",0.426584392552131,"Genetic Information Processing","Replication and repair"
"cvn03450","cvn03450","Non-homologous end-joining",-0.388165171105754,"Genetic Information Processing","Replication and repair"
"cvn03083","cvn03083","Polycomb repressive complex",0.389122244468272,"Genetic Information Processing","Chromosome"
"cvn03008","cvn03008","Ribosome biogenesis in eukaryotes",-0.244071317633344,"Genetic Information Processing","Translation"
"cvn00770","cvn00770","Pantothenate and CoA biosynthesis",0.451449715542698,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00061","cvn00061","Fatty acid biosynthesis",0.453935600883495,"Metabolism","Lipid metabolism"
"cvn00510","cvn00510","N-Glycan biosynthesis",0.393247009338357,"Metabolism","Glycan biosynthesis and metabolism"
"cvn04820","cvn04820","Cytoskeleton in muscle cells",0.362515159071684,"Cellular Processes","Cell motility"
"cvn00564","cvn00564","Glycerophospholipid metabolism",0.369177995576955,"Metabolism","Lipid metabolism"
"cvn03018","cvn03018","RNA degradation",0.35974376414488,"Genetic Information Processing","Folding, sorting and degradation"
"cvn03082","cvn03082","ATP-dependent chromatin remodeling",0.348581002201557,"Genetic Information Processing","Chromosome"
"cvn00534","cvn00534","Glycosaminoglycan biosynthesis",0.434722589747151,"Metabolism","Glycan biosynthesis and metabolism"
"cvn04068","cvn04068","FoxO signaling pathway",0.350329553803612,"Environmental Information Processing","Signal transduction"
"cvn00790","cvn00790","Folate biosynthesis",-0.369890573321713,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00040","cvn00040","Pentose and glucuronate interconversions",0.453465726296718,"Metabolism","Carbohydrate metabolism"
"cvn00670","cvn00670","One carbon pool by folate",-0.309210850174173,"Metabolism","Metabolism of cofactors and vitamins"
"cvn01240","cvn01240","Biosynthesis of cofactors",0.332334714884963,"NA","NA"
"cvn00600","cvn00600","Sphingolipid metabolism",-0.24784468811051,"Metabolism","Lipid metabolism"
"cvn00220","cvn00220","Arginine biosynthesis",0.427985009822254,"Metabolism","Amino acid metabolism"
"cvn00591","cvn00591","Linoleic acid metabolism",0.45014158188146,"Metabolism","Lipid metabolism"
"cvn00480","cvn00480","Glutathione metabolism",0.351571892254164,"Metabolism","Metabolism of other amino acids"
"cvn00532","cvn00532","Glycosaminoglycan biosynthesis",0.431456168961416,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00730","cvn00730","Thiamine metabolism",-0.349928211269237,"Metabolism","Metabolism of cofactors and vitamins"
"cvn03010","cvn03010","Ribosome",0.327018674002273,"Genetic Information Processing","Translation"
"cvn00330","cvn00330","Arginine and proline metabolism",0.33943172940865,"Metabolism","Amino acid metabolism"
"cvn04136","cvn04136","Autophagy",0.352073668565888,"Cellular Processes","Transport and catabolism"
"cvn00900","cvn00900","Terpenoid backbone biosynthesis",0.35543315813074,"Metabolism","Metabolism of terpenoids and polyketides"
"cvn03430","cvn03430","Mismatch repair",0.35531095237349,"Genetic Information Processing","Replication and repair"
"cvn04350","cvn04350","TGF-beta signaling pathway",0.322653935208463,"Environmental Information Processing","Signal transduction"
"cvn00630","cvn00630","Glyoxylate and dicarboxylate metabolism",0.321582308744901,"Metabolism","Carbohydrate metabolism"
"cvn00051","cvn00051","Fructose and mannose metabolism",0.336782440449622,"Metabolism","Carbohydrate metabolism"
"cvn00513","cvn00513","Various types of N-glycan biosynthesis",0.327790282393908,"Metabolism","Glycan biosynthesis and metabolism"
"cvn03022","cvn03022","Basal transcription factors",0.332474731641076,"Genetic Information Processing","Transcription"
"cvn04120","cvn04120","Ubiquitin mediated proteolysis",0.30064374962677,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00130","cvn00130","Ubiquinone and other terpenoid-quinone biosynthesis",0.386271714655451,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00982","cvn00982","Drug metabolism",0.334367425578474,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn00512","cvn00512","Mucin type O-glycan biosynthesis",0.347909461807332,"Metabolism","Glycan biosynthesis and metabolism"
"cvn03420","cvn03420","Nucleotide excision repair",0.297548525781648,"Genetic Information Processing","Replication and repair"
"cvn00830","cvn00830","Retinol metabolism",-0.230692641259929,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00785","cvn00785","Lipoic acid metabolism",0.336551788081318,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00190","cvn00190","Oxidative phosphorylation",0.291065495916607,"Metabolism","Energy metabolism"
"cvn03020","cvn03020","RNA polymerase",-0.251099935103441,"Genetic Information Processing","Transcription"
"cvn00270","cvn00270","Cysteine and methionine metabolism",0.269270855473367,"Metabolism","Amino acid metabolism"
"cvn00030","cvn00030","Pentose phosphate pathway",0.294716445662847,"Metabolism","Carbohydrate metabolism"
"cvn04130","cvn04130","SNARE interactions in vesicular transport",-0.257994368120295,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00603","cvn00603","Glycosphingolipid biosynthesis",-0.264407983884041,"Metabolism","Glycan biosynthesis and metabolism"
"cvn02010","cvn02010","ABC transporters",0.259604685889616,"Environmental Information Processing","Membrane transport"
"cvn04980","cvn04980","Cobalamin transport and metabolism",0.313188052627901,"Organismal Systems","Digestive system"
"cvn00980","cvn00980","Metabolism of xenobiotics by cytochrome P450",0.297302797225719,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn00860","cvn00860","Porphyrin metabolism",0.288266988293436,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00590","cvn00590","Arachidonic acid metabolism",0.290696866296032,"Metabolism","Lipid metabolism"
"cvn00650","cvn00650","Butanoate metabolism",0.270387013762181,"Metabolism","Carbohydrate metabolism"
"cvn00531","cvn00531","Glycosaminoglycan degradation",0.280313792272845,"Metabolism","Glycan biosynthesis and metabolism"
"cvn04150","cvn04150","mTOR signaling pathway",0.224364913878085,"Environmental Information Processing","Signal transduction"
"cvn00565","cvn00565","Ether lipid metabolism",0.22653440030463,"Metabolism","Lipid metabolism"
