"","ID","Description","enrichmentScore","GeneralPathway","DetailedPathway"
"cvn03020","cvn03020","RNA polymerase",-0.250977060254182,"Genetic Information Processing","Transcription"
"cvn04130","cvn04130","SNARE interactions in vesicular transport",-0.257865726014987,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00830","cvn00830","Retinol metabolism",-0.229835909362713,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00270","cvn00270","Cysteine and methionine metabolism",0.269078485118822,"Metabolism","Amino acid metabolism"
"cvn00030","cvn00030","Pentose phosphate pathway",0.293824594097408,"Metabolism","Carbohydrate metabolism"
"cvn04980","cvn04980","Cobalamin transport and metabolism",0.313222428747004,"Organismal Systems","Digestive system"
"cvn00980","cvn00980","Metabolism of xenobiotics by cytochrome P450",0.297286663245805,"Metabolism","Xenobiotics biodegradation and metabolism"
"cvn00860","cvn00860","Porphyrin metabolism",0.28819810677149,"Metabolism","Metabolism of cofactors and vitamins"
"cvn02010","cvn02010","ABC transporters",0.259030408770243,"Environmental Information Processing","Membrane transport"
"cvn00590","cvn00590","Arachidonic acid metabolism",0.290300527495904,"Metabolism","Lipid metabolism"
"cvn00650","cvn00650","Butanoate metabolism",0.270156971545131,"Metabolism","Carbohydrate metabolism"
"cvn00531","cvn00531","Glycosaminoglycan degradation",0.279379821254411,"Metabolism","Glycan biosynthesis and metabolism"
"cvn04150","cvn04150","mTOR signaling pathway",0.223544813993414,"Environmental Information Processing","Signal transduction"
"cvn00565","cvn00565","Ether lipid metabolism",0.224817448999416,"Metabolism","Lipid metabolism"
