"","ID","Description","enrichmentScore","GeneralPathway","DetailedPathway"
"cvn03450","cvn03450","Non-homologous end-joining",0.373404014181798,"Genetic Information Processing","Replication and repair"
"cvn00513","cvn00513","Various types of N-glycan biosynthesis",-0.282600961603578,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00563","cvn00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.337229777346586,"Metabolism","Glycan biosynthesis and metabolism"
"cvn03083","cvn03083","Polycomb repressive complex",0.292321071970581,"Genetic Information Processing","Chromosome"
"cvn01200","cvn01200","Carbon metabolism",0.247807195710615,"NA","NA"
"cvn00240","cvn00240","Pyrimidine metabolism",-0.266532597842903,"Metabolism","Nucleotide metabolism"
"cvn03018","cvn03018","RNA degradation",0.266174714603815,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00910","cvn00910","Nitrogen metabolism",-0.35494048319331,"Metabolism","Energy metabolism"
"cvn01240","cvn01240","Biosynthesis of cofactors",-0.216436184476538,"NA","NA"
"cvn04148","cvn04148","Efferocytosis",0.241047224614267,"Cellular Processes","Transport and catabolism"
"cvn00600","cvn00600","Sphingolipid metabolism",-0.250221704782675,"Metabolism","Lipid metabolism"
"cvn01210","cvn01210","2-Oxocarboxylic acid metabolism",0.287536107094313,"NA","NA"
"cvn00250","cvn00250","Alanine, aspartate and glutamate metabolism",0.288749335944357,"Metabolism","Amino acid metabolism"
"cvn00830","cvn00830","Retinol metabolism",-0.28588891220316,"Metabolism","Metabolism of cofactors and vitamins"
"cvn03020","cvn03020","RNA polymerase",-0.311940073472066,"Genetic Information Processing","Transcription"
"cvn04130","cvn04130","SNARE interactions in vesicular transport",-0.315335237750122,"Genetic Information Processing","Folding, sorting and degradation"
"cvn00410","cvn00410","beta-Alanine metabolism",-0.265840476737505,"Metabolism","Metabolism of other amino acids"
"cvn04814","cvn04814","Motor proteins",0.230368338710434,"Cellular Processes","Cell motility"
"cvn04820","cvn04820","Cytoskeleton in muscle cells",-0.23005641072145,"Cellular Processes","Cell motility"
"cvn04350","cvn04350","TGF-beta signaling pathway",-0.245739138483188,"Environmental Information Processing","Signal transduction"
"cvn03015","cvn03015","mRNA surveillance pathway",0.242654707275526,"Genetic Information Processing","Translation"
"cvn04136","cvn04136","Autophagy",0.285972108984534,"Cellular Processes","Transport and catabolism"
"cvn00564","cvn00564","Glycerophospholipid metabolism",0.248805281930652,"Metabolism","Lipid metabolism"
"cvn00340","cvn00340","Histidine metabolism",0.273958758173274,"Metabolism","Amino acid metabolism"
"cvn02010","cvn02010","ABC transporters",0.251069941080083,"Environmental Information Processing","Membrane transport"
"cvn00010","cvn00010","Glycolysis / Gluconeogenesis",0.241980040213373,"Metabolism","Carbohydrate metabolism"
"cvn03420","cvn03420","Nucleotide excision repair",0.239867229361923,"Genetic Information Processing","Replication and repair"
"cvn00590","cvn00590","Arachidonic acid metabolism",0.301079139392467,"Metabolism","Lipid metabolism"
"cvn00785","cvn00785","Lipoic acid metabolism",-0.275325112505125,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00730","cvn00730","Thiamine metabolism",0.324433295015632,"Metabolism","Metabolism of cofactors and vitamins"
"cvn04070","cvn04070","Phosphatidylinositol signaling system",0.232363945305692,"Environmental Information Processing","Signal transduction"
"cvn00603","cvn00603","Glycosphingolipid biosynthesis",0.283880093162882,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00532","cvn00532","Glycosaminoglycan biosynthesis",-0.268201943719477,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00061","cvn00061","Fatty acid biosynthesis",-0.256397556557395,"Metabolism","Lipid metabolism"
"cvn00280","cvn00280","Valine, leucine and isoleucine degradation",-0.20750687306096,"Metabolism","Amino acid metabolism"
"cvn00562","cvn00562","Inositol phosphate metabolism",0.226221003488951,"Metabolism","Carbohydrate metabolism"
"cvn00520","cvn00520","Amino sugar and nucleotide sugar metabolism",0.227603233027376,"Metabolism","Carbohydrate metabolism"
"cvn04330","cvn04330","Notch signaling pathway",0.245763267675665,"Environmental Information Processing","Signal transduction"
"cvn04512","cvn04512","ECM-receptor interaction",0.253890170099439,"Environmental Information Processing","Signaling molecules and interaction"
"cvn03410","cvn03410","Base excision repair",0.212951776080942,"Genetic Information Processing","Replication and repair"
"cvn00380","cvn00380","Tryptophan metabolism",0.228570363752514,"Metabolism","Amino acid metabolism"
"cvn03440","cvn03440","Homologous recombination",0.236887194483273,"Genetic Information Processing","Replication and repair"
"cvn00531","cvn00531","Glycosaminoglycan degradation",-0.238980665962792,"Metabolism","Glycan biosynthesis and metabolism"
"cvn00130","cvn00130","Ubiquinone and other terpenoid-quinone biosynthesis",-0.260885606888942,"Metabolism","Metabolism of cofactors and vitamins"
"cvn00053","cvn00053","Ascorbate and aldarate metabolism",0.260696942145288,"Metabolism","Carbohydrate metabolism"
"cvn04140","cvn04140","Autophagy",0.199534272030937,"Cellular Processes","Transport and catabolism"
"cvn00071","cvn00071","Fatty acid degradation",0.212766319499616,"Metabolism","Lipid metabolism"
"cvn00561","cvn00561","Glycerolipid metabolism",0.204774437072331,"Metabolism","Lipid metabolism"
"cvn04080","cvn04080","Neuroactive ligand-receptor interaction",-0.188000978188283,"Environmental Information Processing","Signaling molecules and interaction"
