From	To	Species	Gene Name
LOC111114291	111114291	Crassostrea virginica	uncharacterized LOC111114291(LOC111114291)
LOC111114290	111114290	Crassostrea virginica	ATP-dependent helicase fft2-like(LOC111114290)
LOC111114299	111114299	Crassostrea virginica	uncharacterized LOC111114299(LOC111114299)
LOC111138224	111138224	Crassostrea virginica	protein NipSnap homolog 3A-like(LOC111138224)
LOC111114293	111114293	Crassostrea virginica	uncharacterized LOC111114293(LOC111114293)
LOC111114292	111114292	Crassostrea virginica	uncharacterized LOC111114292(LOC111114292)
LOC111138239	111138239	Crassostrea virginica	Hermansky-Pudlak syndrome 1 protein homolog(LOC111138239)
LOC111127584	111127584	Crassostrea virginica	band 7 protein AGAP004871-like(LOC111127584)
LOC111126255	111126255	Crassostrea virginica	sodium- and chloride-dependent glycine transporter 2-like(LOC111126255)
LOC111127586	111127586	Crassostrea virginica	band 7 protein AGAP004871-like(LOC111127586)
LOC111127587	111127587	Crassostrea virginica	arylsulfatase B-like(LOC111127587)
LOC111127582	111127582	Crassostrea virginica	serine/arginine repetitive matrix protein 1-like(LOC111127582)
LOC111126257	111126257	Crassostrea virginica	sodium- and chloride-dependent glycine transporter 2-like(LOC111126257)
LOC111127588	111127588	Crassostrea virginica	cytochrome P450 3A24-like(LOC111127588)
LOC111127589	111127589	Crassostrea virginica	cytochrome P450 3A24-like(LOC111127589)
LOC111114285	111114285	Crassostrea virginica	putative ferric-chelate reductase 1 homolog(LOC111114285)
LOC111138235	111138235	Crassostrea virginica	polyadenylate-binding protein 4-like(LOC111138235)
LOC111114282	111114282	Crassostrea virginica	VWFA and cache domain-containing protein 1-like(LOC111114282)
LOC111114281	111114281	Crassostrea virginica	VWFA and cache domain-containing protein 1-like(LOC111114281)
LOC111138233	111138233	Crassostrea virginica	uncharacterized LOC111138233(LOC111138233)
LOC111138232	111138232	Crassostrea virginica	kelch-like protein 40a(LOC111138232)
LOC111138281	111138281	Crassostrea virginica	short stature homeobox protein 2-like(LOC111138281)
LOC111138280	111138280	Crassostrea virginica	probable deferrochelatase/peroxidase YfeX(LOC111138280)
LOC111138286	111138286	Crassostrea virginica	E3 ubiquitin-protein ligase TRIM33-like(LOC111138286)
LOC111138289	111138289	Crassostrea virginica	F-box/LRR-repeat protein 20-like(LOC111138289)
LOC111138293	111138293	Crassostrea virginica	uncharacterized LOC111138293(LOC111138293)
LOC111138290	111138290	Crassostrea virginica	CDP-diacylglycerol--inositol 3-phosphatidyltransferase-like(LOC111138290)
LOC111138296	111138296	Crassostrea virginica	leukocyte receptor cluster member 1-like(LOC111138296)
LOC111126280	111126280	Crassostrea virginica	ribosomal RNA-processing protein 14-C-like(LOC111126280)
LOC111126281	111126281	Crassostrea virginica	40S ribosomal protein S18(LOC111126281)
LOC111138269	111138269	Crassostrea virginica	uncharacterized LOC111138269(LOC111138269)
LOC111126286	111126286	Crassostrea virginica	uncharacterized LOC111126286(LOC111126286)
LOC111126288	111126288	Crassostrea virginica	sushi domain-containing protein 2-like(LOC111126288)
LOC111138263	111138263	Crassostrea virginica	ankyrin repeat and SOCS box protein 3-like(LOC111138263)
LOC111138268	111138268	Crassostrea virginica	Fanconi anemia group A protein homolog(LOC111138268)
LOC111138266	111138266	Crassostrea virginica	uncharacterized LOC111138266(LOC111138266)
LOC111126298	111126298	Crassostrea virginica	uncharacterized LOC111126298(LOC111126298)
LOC111126294	111126294	Crassostrea virginica	uncharacterized LOC111126294(LOC111126294)
LOC111126296	111126296	Crassostrea virginica	mediator of RNA polymerase II transcription subunit 14-like(LOC111126296)
LOC111138274	111138274	Crassostrea virginica	zinc finger MYND domain-containing protein 12-like(LOC111138274)
LOC111138272	111138272	Crassostrea virginica	uncharacterized LOC111138272(LOC111138272)
LOC111138277	111138277	Crassostrea virginica	zinc finger X-linked protein ZXDB-like(LOC111138277)
LOC111104713	111104713	Crassostrea virginica	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1B-like(LOC111104713)
LOC111104704	111104704	Crassostrea virginica	uncharacterized LOC111104704(LOC111104704)
LOC111104702	111104702	Crassostrea virginica	acetyl-CoA acetyltransferase, mitochondrial-like(LOC111104702)
LOC111104705	111104705	Crassostrea virginica	uncharacterized LOC111104705(LOC111104705)
LOC111116715	111116715	Crassostrea virginica	uncharacterized LOC111116715(LOC111116715)
LOC111116710	111116710	Crassostrea virginica	glutamyl aminopeptidase-like(LOC111116710)
LOC111116719	111116719	Crassostrea virginica	THAP domain-containing protein 10-like(LOC111116719)
LOC111116717	111116717	Crassostrea virginica	uncharacterized LOC111116717(LOC111116717)
LOC111103405	111103405	Crassostrea virginica	uncharacterized LOC111103405(LOC111103405)
LOC111103404	111103404	Crassostrea virginica	monocarboxylate transporter 14-like(LOC111103404)
LOC111103401	111103401	Crassostrea virginica	calmodulin-A-like(LOC111103401)
LOC111103402	111103402	Crassostrea virginica	uncharacterized LOC111103402(LOC111103402)
LOC111103400	111103400	Crassostrea virginica	uncharacterized LOC111103400(LOC111103400)
LOC111103407	111103407	Crassostrea virginica	protein eva-1 homolog C-like(LOC111103407)
LOC111116702	111116702	Crassostrea virginica	uncharacterized LOC111116702(LOC111116702)
LOC111104729	111104729	Crassostrea virginica	uncharacterized LOC111104729(LOC111104729)
LOC111115405	111115405	Crassostrea virginica	coiled-coil domain-containing protein 177-like(LOC111115405)
LOC111115406	111115406	Crassostrea virginica	homeobox protein Hox-B6a-like(LOC111115406)
LOC111103420	111103420	Crassostrea virginica	uncharacterized LOC111103420(LOC111103420)
LOC111128725	111128725	Crassostrea virginica	nuclear distribution protein nudE-like 1(LOC111128725)
