"","Pathway","N","DE","P.DE"
"hsa04261","Adrenergic signaling in cardiomyocytes",154,0,1
"hsa04270","Vascular smooth muscle contraction",134,0,1
"hsa04310","Wnt signaling pathway",174,0,1
"hsa04330","Notch signaling pathway",62,0,1
"hsa04340","Hedgehog signaling pathway",56,0,1
"hsa04350","TGF-beta signaling pathway",108,0,1
"hsa04360","Axon guidance",182,0,1
"hsa04370","VEGF signaling pathway",59,0,1
"hsa04371","Apelin signaling pathway",139,0,1
"hsa04380","Osteoclast differentiation",135,0,1
"hsa04390","Hippo signaling pathway",157,0,1
"hsa04392","Hippo signaling pathway - multiple species",29,0,1
"hsa04510","Focal adhesion",203,0,1
"hsa04512","ECM-receptor interaction",89,0,1
"hsa04514","Cell adhesion molecules",158,0,1
"hsa04520","Adherens junction",93,0,1
"hsa04530","Tight junction",170,0,1
"hsa04540","Gap junction",88,0,1
"hsa04550","Signaling pathways regulating pluripotency of stem cells",143,0,1
"hsa04610","Complement and coagulation cascades",86,0,1
"hsa04611","Platelet activation",124,0,1
"hsa04612","Antigen processing and presentation",78,0,1
"hsa04613","Neutrophil extracellular trap formation",191,0,1
"hsa04614","Renin-angiotensin system",23,0,1
"hsa04620","Toll-like receptor signaling pathway",108,0,1
"hsa04621","NOD-like receptor signaling pathway",186,0,1
"hsa04622","RIG-I-like receptor signaling pathway",71,0,1
"hsa04623","Cytosolic DNA-sensing pathway",83,0,1
"hsa04625","C-type lectin receptor signaling pathway",104,0,1
"hsa04630","JAK-STAT signaling pathway",166,0,1
"hsa04640","Hematopoietic cell lineage",99,0,1
"hsa04650","Natural killer cell mediated cytotoxicity",132,0,1
"hsa04657","IL-17 signaling pathway",94,0,1
"hsa04658","Th1 and Th2 cell differentiation",92,0,1
"hsa04659","Th17 cell differentiation",108,0,1
"hsa04660","T cell receptor signaling pathway",121,0,1
"hsa04662","B cell receptor signaling pathway",84,0,1
"hsa04664","Fc epsilon RI signaling pathway",68,0,1
"hsa04666","Fc gamma R-mediated phagocytosis",97,0,1
"hsa04668","TNF signaling pathway",114,0,1
"hsa04670","Leukocyte transendothelial migration",115,0,1
"hsa04672","Intestinal immune network for IgA production",49,0,1
"hsa04710","Circadian rhythm",34,0,1
"hsa04713","Circadian entrainment",97,0,1
"hsa04714","Thermogenesis",232,0,1
"hsa04720","Long-term potentiation",67,0,1
"hsa04721","Synaptic vesicle cycle",78,0,1
"hsa04722","Neurotrophin signaling pathway",119,0,1
"hsa04723","Retrograde endocannabinoid signaling",148,0,1
"hsa04724","Glutamatergic synapse",115,0,1
"hsa04725","Cholinergic synapse",113,0,1
"hsa04726","Serotonergic synapse",115,0,1
"hsa04727","GABAergic synapse",89,0,1
"hsa04728","Dopaminergic synapse",132,0,1
"hsa04730","Long-term depression",60,0,1
"hsa04740","Olfactory transduction",439,0,1
"hsa04742","Taste transduction",86,0,1
"hsa04744","Phototransduction",29,0,1
"hsa04750","Inflammatory mediator regulation of TRP channels",98,0,1
"hsa04810","Regulation of actin cytoskeleton",229,0,1
"hsa04814","Motor proteins",193,0,1
"hsa04910","Insulin signaling pathway",137,0,1
"hsa04911","Insulin secretion",86,0,1
"hsa04912","GnRH signaling pathway",93,0,1
"hsa04913","Ovarian steroidogenesis",51,0,1
"hsa04914","Progesterone-mediated oocyte maturation",102,0,1
"hsa04915","Estrogen signaling pathway",137,0,1
"hsa04916","Melanogenesis",101,0,1
"hsa04917","Prolactin signaling pathway",70,0,1
"hsa04918","Thyroid hormone synthesis",75,0,1
"hsa04919","Thyroid hormone signaling pathway",121,0,1
"hsa04920","Adipocytokine signaling pathway",70,0,1
"hsa04921","Oxytocin signaling pathway",154,0,1
"hsa04922","Glucagon signaling pathway",107,0,1
"hsa04923","Regulation of lipolysis in adipocytes",58,0,1
"hsa04924","Renin secretion",69,0,1
"hsa04925","Aldosterone synthesis and secretion",98,0,1
"hsa04926","Relaxin signaling pathway",129,0,1
"hsa04927","Cortisol synthesis and secretion",65,0,1
"hsa04928","Parathyroid hormone synthesis, secretion and action",106,0,1
"hsa04929","GnRH secretion",64,0,1
"hsa04930","Type II diabetes mellitus",46,0,1
"hsa04931","Insulin resistance",108,0,1
"hsa04932","Non-alcoholic fatty liver disease",155,0,1
"hsa04933","AGE-RAGE signaling pathway in diabetic complications",100,0,1
"hsa04934","Cushing syndrome",155,0,1
"hsa04935","Growth hormone synthesis, secretion and action",120,0,1
"hsa04936","Alcoholic liver disease",142,0,1
"hsa04940","Type I diabetes mellitus",43,0,1
"hsa04950","Maturity onset diabetes of the young",26,0,1
"hsa04960","Aldosterone-regulated sodium reabsorption",37,0,1
"hsa04961","Endocrine and other factor-regulated calcium reabsorption",53,0,1
"hsa04962","Vasopressin-regulated water reabsorption",44,0,1
"hsa04964","Proximal tubule bicarbonate reclamation",23,0,1
"hsa04966","Collecting duct acid secretion",27,0,1
"hsa04970","Salivary secretion",93,0,1
"hsa04971","Gastric acid secretion",76,0,1
"hsa04972","Pancreatic secretion",102,0,1
"hsa04973","Carbohydrate digestion and absorption",47,0,1
"hsa04974","Protein digestion and absorption",103,0,1
"hsa04975","Fat digestion and absorption",43,0,1
"hsa04976","Bile secretion",89,0,1
"hsa04977","Vitamin digestion and absorption",24,0,1
"hsa04978","Mineral absorption",60,0,1
"hsa04979","Cholesterol metabolism",51,0,1
"hsa05010","Alzheimer disease",384,0,1
"hsa05012","Parkinson disease",266,0,1
"hsa05014","Amyotrophic lateral sclerosis",364,0,1
"hsa05016","Huntington disease",306,0,1
"hsa05017","Spinocerebellar ataxia",143,0,1
"hsa05020","Prion disease",272,0,1
"hsa05022","Pathways of neurodegeneration - multiple diseases",476,0,1
"hsa05030","Cocaine addiction",49,0,1
"hsa05031","Amphetamine addiction",69,0,1
"hsa05032","Morphine addiction",91,0,1
"hsa05033","Nicotine addiction",40,0,1
"hsa05034","Alcoholism",188,0,1
"hsa05100","Bacterial invasion of epithelial cells",77,0,1
"hsa05110","Vibrio cholerae infection",50,0,1
"hsa05120","Epithelial cell signaling in Helicobacter pylori infection",70,0,1
"hsa05130","Pathogenic Escherichia coli infection",198,0,1
"hsa05131","Shigellosis",247,0,1
"hsa05132","Salmonella infection",249,0,1
"hsa05133","Pertussis",76,0,1
"hsa05134","Legionellosis",56,0,1
"hsa05135","Yersinia infection",137,0,1
"hsa05140","Leishmaniasis",77,0,1
"hsa05142","Chagas disease",102,0,1
"hsa05143","African trypanosomiasis",37,0,1
"hsa05144","Malaria",50,0,1
"hsa05145","Toxoplasmosis",111,0,1
"hsa05146","Amoebiasis",102,0,1
"hsa05150","Staphylococcus aureus infection",96,0,1
"hsa05152","Tuberculosis",180,0,1
"hsa05160","Hepatitis C",158,0,1
"hsa05161","Hepatitis B",162,0,1
"hsa05162","Measles",138,0,1
"hsa05163","Human cytomegalovirus infection",225,0,1
"hsa05164","Influenza A",171,0,1
"hsa05165","Human papillomavirus infection",331,0,1
"hsa05166","Human T-cell leukemia virus 1 infection",222,0,1
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",194,0,1
"hsa05168","Herpes simplex virus 1 infection",512,0,1
"hsa05169","Epstein-Barr virus infection",202,0,1
"hsa05170","Human immunodeficiency virus 1 infection",212,0,1
"hsa05171","Coronavirus disease - COVID-19",232,0,1
"hsa05200","Pathways in cancer",531,0,1
"hsa05202","Transcriptional misregulation in cancer",193,0,1
"hsa05203","Viral carcinogenesis",204,0,1
"hsa05204","Chemical carcinogenesis - DNA adducts",70,0,1
"hsa05205","Proteoglycans in cancer",205,0,1
"hsa05206","MicroRNAs in cancer",310,0,1
"hsa05207","Chemical carcinogenesis - receptor activation",212,0,1
"hsa05208","Chemical carcinogenesis - reactive oxygen species",223,0,1
"hsa05210","Colorectal cancer",86,0,1
"hsa05211","Renal cell carcinoma",69,0,1
"hsa05212","Pancreatic cancer",76,0,1
"hsa05213","Endometrial cancer",58,0,1
"hsa05214","Glioma",75,0,1
"hsa05215","Prostate cancer",97,0,1
"hsa05216","Thyroid cancer",37,0,1
"hsa05217","Basal cell carcinoma",63,0,1
"hsa05218","Melanoma",72,0,1
"hsa05219","Bladder cancer",41,0,1
"hsa05220","Chronic myeloid leukemia",76,0,1
"hsa05221","Acute myeloid leukemia",67,0,1
"hsa05222","Small cell lung cancer",92,0,1
"hsa05223","Non-small cell lung cancer",72,0,1
"hsa05224","Breast cancer",147,0,1
"hsa05225","Hepatocellular carcinoma",168,0,1
"hsa05226","Gastric cancer",149,0,1
"hsa05230","Central carbon metabolism in cancer",70,0,1
"hsa05231","Choline metabolism in cancer",98,0,1
"hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",89,0,1
"hsa05310","Asthma",31,0,1
"hsa05320","Autoimmune thyroid disease",53,0,1
"hsa05321","Inflammatory bowel disease",65,0,1
"hsa05322","Systemic lupus erythematosus",137,0,1
"hsa05323","Rheumatoid arthritis",93,0,1
"hsa05330","Allograft rejection",38,0,1
"hsa05332","Graft-versus-host disease",42,0,1
"hsa05340","Primary immunodeficiency",38,0,1
"hsa05410","Hypertrophic cardiomyopathy",97,0,1
"hsa05412","Arrhythmogenic right ventricular cardiomyopathy",84,0,1
"hsa05414","Dilated cardiomyopathy",103,0,1
"hsa05415","Diabetic cardiomyopathy",203,0,1
"hsa05416","Viral myocarditis",67,0,1
"hsa05417","Lipid and atherosclerosis",215,0,1
"hsa05418","Fluid shear stress and atherosclerosis",139,0,1
